,RIDDLES,ANSWERS
0,"With thieves I consort, With the Vilest, in short, I'm quite at ease in depravity, Yet all divines use me, And savants can't lose me, For I am the century of gravity.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeM/17mK94baHUNbknR9VhJh7vti.w2yK'
1,"I move without wings, Between silken string, I leave as you find, My substance behind.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeYzT.XUxyecq7LnGzYTqSnrbMVGH1wMa'
2,"What flies forever, Rests never?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeUrOQWFbS0/wTPnc2xK6ryBSzFEyfvOS'
3,"I appear in the morning. But am always there. You can never see me. Though I am everywhere. By night I am gone, though I sometimes never was. Nothing can defeat me. But I am easily gone.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeCuhYGrXD9HfMZl66IJr0yqFmORrc63G'
4,I crawl on the earth. And rise on a pillar.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeHBXcKZt/0eFXiEde6aFUJVtWIMQQYle'
5,"They are many and one, they wave and they drum, Used to cover a state, they go with you everywhere.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKexZlhn6L5RZo.ZE5F2.lhh.ZuLjJFLG6'
6,What must be in the oven yet can not be baked? Grows in the heat yet shuns the light of day? What sinks in water but rises with air? Looks like skin but is fine as hair?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeIK.YAXE6f1sSQvOmYq/BiHxWlO6exg.'
7,"I have holes on the top and bottom. I have holes on my left and on my right. And I have holes in the middle, Yet I still hold water.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeeNu2iTUy2pFL1oasu/k33EmZ30SgPKm'
8,"What can be swallowed, But can also swallow you?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeXkb9VAnHKP292GAwk9ylSn.BsSdG0xm'
9,"You get many of me, but never enough. After the last one, your life soon will snuff. You may have one of me but one day a year, When the last one is gone, your life disappears.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe2gOLfcnG0MhElIu3Ma0DN0u4GMMJpa6'
10,"I run around the city, but I never move.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe6ZW0n4dVolFVh1zSt8ngBRi5QYP44Jm'
11,"As a whole, I am both safe and secure. Behead me, I become a place of meeting. Behead me again, I am the partner of ready. Restore me, I become the domain of beasts.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe4jHOQSgxE0Hw0dx7/Y9sH90WR.fir.e'
12,"Two horses, swiftest traveling, harnessed in a pair, and grazing ever in places. Distant from them.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKekfwEZgAETdOTf8wAcSEPodVGRsZGnty'
13,"At the sound of me, men may dream. Or stamp their feet. At the sound of me, women may laugh. Or sometimes weep.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKer9C9MmHDx/.8G2DVkocZ9Fh1Rzexvmi'
14,"To unravel me you need a simple key, no key that was made by locksmith's hand. But a key that only I will understand.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe83HlvsAjsf.iT9pZLmXJQG6zdlG.aL.'
15,"Long and think, red within, with a nail at the end.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKezA7hCZH9nmdgh6NbZ70Awg.X4GPSFpe'
16,I'm sometimes white and always wrong. I can break a heart and hurt the strong. I can build love or tear it down. I can make a smile or bring a frown.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKej8IcZXw8IZGQVZUly2AYBZvTf4Qjw6i'
17,"You can tumble in it, roll in it, burn it, animal eat it. Used to cover floors, still used beyond stall doors. Freshens whatever it is placed on. Absorbs whatever is poured into it.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeStYV3q.usnwGP4C6P3n2/7OBdwJQN6a'
18,"I come in winter. I cannot see, hear, or feel. I can't eat, But you can eat parts of me.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeDDZn9.k2AC8DkEg/.WbHKzqfMqL9UxS'
19,"Sometimes I am loud. And viewed with distaste. Poke out my 'eye', then I'm on the front of your face.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKesfTzI4QqRA3uVQyflVbDpYzqzSscnsa'
20,"What is it that has four legs, one head, and a foot?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeLQyqKaeKC1S97gqn9KDJS57RqWoKwEa'
21,What makes a loud noise when changing its jacket. Becomes larger but weighs less?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeV5bAjF7AiaLnBY67BA3o3S8sxW7ZpEW'
22,"I am always hungry, I must always be fed. The finger I lick will soon turn red.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe95U6.yzSOkuNEL/I1v1x.x573ZrgCAi'
23,"Something wholly unreal, yet seems real to I. Think my friend, tell me where does it lie?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe2BQlgEy.joQRXju3WdC6pTA9nv6hhI6'
24,"No matter how little or how much you use me, you change me every month.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeqEBBSs1yDW8GLfidXOnQkVl9RsnzCoa'
25,"What can burn the eyes, sting the mouth, yet be consumed?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe2m2dI6eeW3OTOk9m5AyRIUvkgA1fml6'
26,What an fill a room but takes up no space?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKefWsHcDSkocILyZL/NshNnwra33oITve'
27,It occurs once in every minute. Twice in every moment and yet never in one hundred thousand years.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeFF4OwSp04EdQvmFwgG5rCVjlADW2XTu'
28,"With pointed fangs it sits in wait. With piercing force it doles out fate, over bloodless victims proclaiming its might. Eternally joining in a single bite.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeSE3s3qlpicBNSuVMRcXvUxmfQR7X33S'
29,"It holds most knowledge that has ever been said. But is not the brain, is not the head. To feathers and their masters, it's both bane and boonÂ…One empty, and one full.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeNbDL7mtFOkwWq9F.5Ul2dwZzgIGWH2i'
30,"Upon me you can tread, though softly under cover. And I will take you places, that you have yet to discover. I'm high, and I'm low, though flat in the middle. And though a joy to the children, adults think of me little.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKebgLhwaPGOwxen3Axa2p/9ZBf2GzpLLm'
31,"A mile from end to end, yet as close to as a friend. A precious commodity, freely given. Seen on the dead and on the living. Found on the rich, poor, short and tall. But shared among children most of all.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKew5lBw60fDE7A3qKymejTyDD08PAA05K'
32,"I have a hundred legs, but cannot stand. I have a long neck, but no head. I cannot see. I'm neat and tidy as can be.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeSKMp/vF3OcszdzWxNvRNVaxe.2b/uXq'
33,"Flat as a leaf, round as a ring. Has two eyes, can't see a thing.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKekohBzGcpVb3MkWtul8D0IWijB/Ccr42'
34,I don't think or eat or slumber. Or move around or fear thunder. Just like you I look the same but I can't harm you or be your bane.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeSsGCPOuS2bUPDe9eCDD3qYZ9jfgyxYq'
35,"In marble halls as white as milk, lined with a skin as soft as silk. Within a fountain crystal-clear. A golden apple doth appear. No doors there are to this stronghold, yet thieves break in and steal the gold.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKedrvEmvl81TYdshGzVDHjNlwlen48Nw2'
36,What is it that you must give before you can keep it.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeqvtXt1ebAtJPLFZejQjQsRW59ek5D.y'
37,I dig out tiny caves and store gold and silver in them. I also build bridges of silver and make crowns of gold. They are the smallest you could imagine. Sooner or later everybody needs my help. Yet many people are afraid to let me help them.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKelC0LTx7VekQ63SS2MmgkcyCTgTMa/XO'
38,"What is long and slim, works in light. Has but one eye, and an awful bite?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKea5kHGA2CP.YrXQ8Ne4a4HWhhWzwtdxm'
39,What lies in a tunnel of darkness. That can only attack when pulled back?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeOAPpG5PU7sLz7yJ2F7KudGYXZwnW2BO'
40,What has six faces and twenty-one eyes?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKetNLD6naf0G9.0MiPGC.15jlImjHY9uq'
41,"Until I am measured. I am not known, yet how you miss me when I have flown.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe/7WcU6vFQPixA1eiUGDO5pqButdl6LC'
42,Three lives have I. Gentle enough to soothe the skin. Light enough to caress the sky. Hard enough to crack rocks.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe9I/NIA7nYl3VrekocXhWXrgqfa/qNFO'
43,"I wear a red robe, with staff in hand, and a stone in my throat.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKewANjSr9hJ04Q66ALdME6184jihqDL9q'
44,"A warrior amongst the flowers, he bears a thrusting sword. He uses it whenever he must, to defend his golden hoard.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeT84VBCy.IgJG0zMGlGOtJetq8jfDINa'
45,I hide but my head is outside.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKecwYnAh42FReE3eOIzpYvtzWFDneeJsy'
46,"A house full, a yard full, a chimney full, no one can get a spoonful.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeUDGOiRcf9wMa8yxgczbKk9V1e6/5fYy'
47,"You can spin, wheel and twist. But this thing can turn without moving.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeNd2S/aLteUzaQlFVCTppKl2VKAqmgje'
48,"Halo of water, tongue of wood. Skin of stone, long I've stood. My fingers short reach to the sky. Inside my heart men live and die.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe0K0YAT9X0dxt4fFcKHQhgiBKvunDD1W'
49,"When they are caught, they are thrown away. When they escape, you itch all day.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeW1zurcKRWiuf1VTVhdQx3QDe.RZ2h7u'
50,"What does man love more than life, fear more than death or mortal strife. What the poor have, the rich require, and what contented men desire. What the miser spends, and the spendthrift saves. And all men carry to their graves.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKefni9nOJSP5aI.3zpywILJKnrgMOWbq2'
51,"In we go, out we go. All around and in a row. Always, always steady flow. When we'll stop, you'll never known. In we go, out we go.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe/admjVW5NRizc29ZT3pk8HCFFcUVwWW'
52,"A cloud was my mother, the wind is my father. My son is the cool stream, and my daughter is the fruit of the land. A rainbow is my bed, the earth my final resting place. And I'm the torment of man.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeP8FQfyKNWTwXbB1MWKbXg8sCAH565w2'
53,"Born of earth, but with none of its strength. Molded by flame, but with none of its power. Shaped",b'$2b$12$bJS3eJyNaenoz7XhI9bTKepxoPcOimdDZWi/Kwb5kP3eNaULbZ1Ii'
54,Remove the outside. Cook the inside. Eat the outside. Throw away the inside.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe7JUhEMHNMJQ5l5eoH2TyyPYENX41Kj.'
55,"This is in a realm of true and in a realm false, but you experience me as you turn and toss.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeVuZE7FScXTft0F6H1iLzz4evbvpeXvy'
56,There is an ancient invention. Still used in some parts of the world today. That allows people to see through walls.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeP7DCWRLa.DS8tIH.rCbmHO8B0B8uvdC'
57,"Some live in me, some live on. And some shave me to stride upon. I rarely leave my native land. Until my death I always stand. High and low I may be found. Both above and below ground.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKePuuYliZI78OXSo6uemB.lXT/ebK7t/G'
58,"Metal or bone I may be, many teeth I have and always bared. Yet my bite harms no one. And ladies delight in my touch.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeg1cZ9FrMNFqSy6voP5GdrunvcX/ONam'
59,"I am a fire's best friend. When fat, my body fills with wind. When pushed to thin, through my nose I blow. Then you can watch the embers glow.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKecnG1SHawf1Xu.za6GFGhRAHTfAKZ2Xu'
60,"Every dawn begins with me. At dusk I'll be the first you see, and daybreak couldn't come without. What midday centers all about. Daises grow from me, I'm told. And when I come, I end all code, but in the sun I won't be found. Yet still, each day I'll be around.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeV/OC2gSnb1rDhTDMpkdwzPjYlVs7BxC'
61,"You heart it speak, for it has a hard tongue. But it cannot breathe, for it has not a lung.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeR.zCqXZeTbBES15EaBx3WRp7yoBd31S'
62,"I cut through evil like a double edged sword, and chaos flees at my approach. Balance I single-handedly upraise, through battles fought with heart and mind, instead of with my gaze.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe/LQX/uNsBFYS6ovvV8NDG7ejJEZxWCu'
63,The eight of us move forth and back. To protect our king from the foes attack.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeC1yQSGQHWH9lbrd64M650RrQLR71Mh6'
64,He has one and a person has two. A citizen has three. And a human being has four. A personality has five. And an inhabitant of earth has six.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKerm.s2/b3sf8lyHOzFCbEWJZSao5qHNC'
65,"If you break me, I do not stop working. If you touch me, I may be snared. If you lose me, nothing will matter.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe1YqLj59w7vNdNFhlgQ0YtzOAYzH3WdK'
66,What's in the middle of nowhere?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeuUzaXEjmnVGhOw/F7V4fP5sr0o4Dhri'
67,"What force and strength cannot get through. I, with a gentle touch, can do. Many in the street would stand. Were I not a friend at hand.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeEucXlN2aWNe4He5dro/BBA0Wqfkd0nq'
68,Often held but never touched. Always wet but never rusts. Often bits but seldom bit. To use it well you must have wit.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeVowu/wKBFbypFw6IJqQEZD0an49euMa'
69,As round as an apple. As deep as a cup. All the king's horses can't pull it up.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe1tK3Ip8v5l.n4IjVGuACn9t/ZuBVwMy'
70,"He stands beside the road. In a purple cap at tattered green cloak. Those who touch him, curse him.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeSOwOKErOQA3jm8/1Lz/DdCCkrB5Ve.u'
71,Power enough to smash ships and crush roofs. Yet it still must fear the sun.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeVaxNd1TgZW4gCoarQZO9hl9qjZJD.De'
72,"What surrounds the world, yet dwells within a thimble?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeef3KXmXWa4wHtoSh1NsMqxUE9.Dgkg6'
73,"I cannot be other than what I am, until the man who made me dies. Power and glory will fall to me finally. Only when he last closes his eyes.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKekafu9HywJgxl9UNQXQeKE/UKqiZc5em'
74,What is it that makes tears without sorrow. And takes its journey to heaven?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeUDGOiRcf9wMa8yxgczbKk9V1e6/5fYy'
75,Inside a great blue castle lives a shy young maid. She blushes in the morning and comes not out at night.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKencIRt0QYcdw6II/01dWw6ggkd4jzB2a'
76,"This thing runs but cannot walk, sometimes sings but never talks. Lacks arms, has hands; lacks a head but has a face.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe4L6SIUfSfxdqkCbagozEJ/Ofe0YZ6L2'
77,"A word I know, six letters it contains. Subtract just one and twelve remains.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeRBrkwwyo62WQcKnijBCW4mgzZ42xbBS'
78,I am the yellow hem of the sea's blue skirt.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKes9QRMb2OVlPRYCRNJ7iukfJkG3PFceK'
79,"A skin have I, more eyes than one. I can be very nice when I am done.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeHwLXeclxLZrhnb6mHoOYSA3V3MrSHyi'
80,I have four legs but no tail. Usually I am heard only at night.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeaiiJ8GpI5w6jj0W3NLBXM4kCwYSB2wG'
81,"A tiny bead, like fragile glass, strung along a cord of grass.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeGzWFL0joIJBko5BWS2IbJFrbX9DusfG'
82,"Break it and it is better, immediately set and harder to break again.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeghSe38vY75VTnEH0NQSPdMkuU6B.c5O'
83,"Each morning I appear to lie at your feet, all day I follow no matter how fast you run. Yet I nearly perish in the midday sun.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeHBXcKZt/0eFXiEde6aFUJVtWIMQQYle'
84,What do you throw out to use and take in when you're done?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeV8rj76ag6scgp9jQvaxdJtGHQKyRKtu'
85,"What is it which builds things up? Lays mountains low? Dries up lakes, and makes things grow? Cares not a whim about your passing? And is like few other things, because it is everlasting?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe/7WcU6vFQPixA1eiUGDO5pqButdl6LC'
86,"I am the fountain from which no one can drink. For many I am considered a necessary link. Like gold to all I am sought for, but my continued death brings wealth for all to want more.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKedzxJH3YGBCO7EeWkWOGZD7hQrjlGiMG'
87,"Sleeping during the day, I hide away. Watchful through the night, I open at dawn's light. But only for the briefest time, do I shine. And then I hide away. And sleep through the day.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe3UqhiwQ/cH5brNMTWZ1MMBBKyKiUztK'
88,"A seed am I, three letters make my name. Take away two and I still sound the same.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeGXUd5sNrhZa.YBrLvtXi7n0kkRlpCmC'
89,"In the middle of night, I surround the gong. In the middle of sight, I end the song.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe1GAEyaVwIU5rU5cr4JEhOPyMaO9nfqe'
90,Look into my face and I'm everybody. Scratch my back and I'm nobody.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeqB5AFmqyog2u3F.jYdstNj1DQvQrIWy'
91,"Two brothers we are, great burdens we bear. All day we are bitterly pressed. Yet this I will say, we are full all the day, and empty when go to rest.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKehP12xBpL/nQXllo3oughM9Ij9uJQtr2'
92,"They can be harbored, but few hold water. You can nurse them, but only by holding them against someone else. You can carry them, but not with your arms. You can bury them, but not in the earth.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKet0YvoPtsVjwtyc/I55rWQICFfbRXb9S'
93,"What is it that was given to you, belongs only to you. And yet your friends use it more than you do?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeiEL8xtnZflnbXvQ5e4LbmqK6462DFRO'
94,"By Moon or by Sun, I shall be found. Yet I am undone, if there's no light around.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeHBXcKZt/0eFXiEde6aFUJVtWIMQQYle'
95,"What do you use to hoe a row, slay a foe, and wring with woe?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKexZlhn6L5RZo.ZE5F2.lhh.ZuLjJFLG6'
96,"We travel much, yet prisoners are, and close confined to boot. Yet with any horse, we will keep the pace, and will always go on foot.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe/x/xQmPg6cDXYMnxJjZ0BAgk26Rrbim'
97,"Without a bridle, or a saddle, across a thing I ride a-straddle. And those I ride, by help of me, though almost blind, are made to see.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKetZM9EuJYRLgCps2JJcxN22bHHdFN34O'
98,"I fly through the air on small feathered wings, seeking out life and destroying all things.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeL/D96A4.iye70KIUSQccXIHqA6Xxfa6'
99,"I am the red tongue of the earth, that buries cities.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeOkvM1BrqNddLr3jed9pgNwvxM/P6bHi'
100,"I look at you, you look at me, I raise my right, you raise your left.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeqB5AFmqyog2u3F.jYdstNj1DQvQrIWy'
101,"What is the thing which, once poured out, cannot be gathered again?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeP8FQfyKNWTwXbB1MWKbXg8sCAH565w2'
102,"It is a part of us, and then replaced. It escapes out bodies, to a better place. The world becomes its sizeable home. Its passions unrestraint, the planet it roams.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe9I/NIA7nYl3VrekocXhWXrgqfa/qNFO'
103,"What word starts with 'E', ends with 'E', but only has one letter? It is not the letter 'E'.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeet7qYPqQrsFK5lVw9lYLe1VFj499jPK'
104,"A hole in a pole, though I fill a hole in white. I'm used more by the day, and less by the night.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe5GIzl9irj/XXvAJb/U6HSdYuw/AjKpe'
105,"I fly, yet I have no wings. I cry, yet I have no eyes. Darkness follows me. Lower light I never see.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeu0XlhrJc8jUzqLr3gATHqZlOU.NUztW'
106,"I'm full of holes, yet I'm full of water.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeeNu2iTUy2pFL1oasu/k33EmZ30SgPKm'
107,"Long and slinky like a trout, never sings till it's guts come out.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeHtVhTSVO907kmtVMie2hSB/wVE5BY2u'
108,What animal keeps the best time?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeotzsz0jtoG8buLdy/TezxD7f99dKoPO'
109,What kind of room has no windows or doors?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKes9XkB.7UtAzz9U4rHSBBM.aK4B6jzLO'
110,"I have legs but walk not, a strong back but work not. Two good arms but reach not. A seat but sit and tarry not.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKef2myWAh8lGBiju3xSt5Kr8cXOWTb/I2'
111,It's in your hand though you can not feel it. Only you and time can reveal it.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKePvFe3h9phMVlHxAGSGanWlrJmQSAdiC'
112,"Not born, but from a Mother's body drawn. I hang until half of me is gone. I sleep in a cave until I grow old. Then valued for my hardened gold.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKew.fD/QfdcCL.sn3Jiw0ZnaAXjBa1cle'
113,"I am the outstretched fingers that seize and hold the wind. Wisdom flows from me in other hands. Upon me are sweet dreams dreamt, my merest touch brings laughter.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeo0DQrnxI8saoD6sLem58cEp7DLN.ss6'
114,Hands she has but does not hold. Teeth she has but does not bite. Feet she has but they are cold. Eyes she has but without sight.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeSsGCPOuS2bUPDe9eCDD3qYZ9jfgyxYq'
115,Only two backbones and thousands of ribs.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeFUbtmNfEqCa9gxGTkryTTQJj93R.q2a'
116,Hard iron on horse. Cow's hide on man.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe0kWt4.WsuvEl88VueLBCYPxyVu6J.Rq'
117,"What word is the same written forward, backward and upside down?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeeI9uJgwEQywvuA7naMcsiweWD9jpVUa'
118,"I cannot be felt, seen or touched. Yet I can be found in everybody. My existence is always in debate. Yet I have my own style of music.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeDdEyZ1TDvuZ5JDA12ZUPUkF8QHAGV12'
119,"I am seen in the water. If seen in the sky, I am in the rainbow, a jay's feather, and lapis lazuli.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe0fYhOrHksT9l48dADUoiFDaLfarf5j.'
120,"You use it between your head and your toes, the more it works the thinner it grows.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeceT9T59bra/FVL6iGpLI0oOk1tqFIKu'
121,"Fatherless and motherless. Born without sin, roared when it came into the world. And never spoke again.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe0rtkTGSTK7trm/uhn9iM.rKz5Z84pHq'
122,"Where can you find roads without cars, forests without trees and cities without houses?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe4gZ3rRy.ZvJxu3DTJFXfu/lSY7hFfbu'
123,"A leathery snake, with a stinging bite. I'll stay coiled up, unless I must fight.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeED1/BWMa5aK5aUfBkbR9Gw50SacbaQS'
124,"Take one out and scratch my head, I am now black but once was red.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe6Mc7.jqFBaGZ3UqrcxMjwvL/6ht1cqK'
125,Mountains will crumble and temples will fall. And no man can survive its endless call.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe/7WcU6vFQPixA1eiUGDO5pqButdl6LC'
