,RIDDLES,ANSWERS
253,My thunder comes before the lightning. My lightning comes before the clouds. My rain dries all the land it touches.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeafcRkn662IB14DjVRSuqV8ubYJ492ry'
254,"My love, when I gaze on thy beautiful face. Careering along, yet always in place, the thought has often come into my mind. If I ever shall see thy glorious behind.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKevCmdHUC5/H80a15wplH1LUELFPvMzly'
255,"What starts with a 'T', ends with a 'T', and has T in it?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeIxC3JHC46yL8GFG8duedr5ispHycMgi'
256,"Today he is there to trip you up. And he will torture you tomorrow. Yet he is also there to ease the pain, when you are lost in grief and sorrow.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe0bnlHVRJuMLkoeAgA0Lxwd3H7YJAJzu'
257,"I can be moved. I can be rolled. But nothing will I hold. I'm red and I'm blue, and I can be other colors too. Having no head, though similar in shape. I have no eyes - yet move all over the place.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeVVsYbrbcbByxbgU6SDQ8hkaK9ji2ZaS'
258,"Inside a burning house, this thing is best to make. And best to make it quickly, before the fire's too much to take.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeSyn.H8Yx6W3JsgKpk0j6zdcDPbXwH7m'
259,"What is round as a dishpan, deep as a tub, and still the oceans couldn't fill it up?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeY.FHvRyM2ykIMZ..Fe/lx7AEU2xSX0q'
260,"My first is in some but not in all. My second is into but not in tall. My third in little but no in big. My fourth in port but not in pig. My whole is made in nature's way. For clothing, rugs used every day.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe/AhKI/5rf5owydVOoaite.qz8/8mb1q'
261,"Gets rid of bad ones, short and tall. Tightens when used, one size fits all.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKebMHw7wxK/WCntY2EPXSPDepSKqT8e8W'
262,What gets wetter the more it dries.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeuGYonlhGrCZUSHj3iqT7G1IrfzT/TN.'
263,"A little house full of meat, no door to go in and eat.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe0WYl/at/Vhq8k0qz.meAE5dn9FY3xbO'
264,A beggar's brother went out to sea and drowned. But the man who drowned had no brother. Who was the beggar to the man who drowned?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeh2rO9N13XKiu35HZzTO/Cs3PklUx3A.'
265,"I can be written, I can be spoken, I can be exposed, I can be broken.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeCoOybG5A31ZH7ybPVapMW554uN.9832'
266,"A horrid monster hides from the day, with many legs and many eyes. With silver chains it catches prey. And eats it all before it dies. Yet in every cottage does it stay. And every castle beneath the sky.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeYzT.XUxyecq7LnGzYTqSnrbMVGH1wMa'
267,"Five hundred begins it, five hundred ends it. Five in the middle is seen. First of all figures, the first of all letters. Take up their stations between. Join all together, and then you will bring before you the name of an eminent king.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeFVdkMjfNo4w4FJ95tqHHk9Yy7EV83pa'
268,"Tall in the morning, short at noon, gone at night. But I'll be back soon.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeHBXcKZt/0eFXiEde6aFUJVtWIMQQYle'
269,"In the night a mountain, in the morning a meadow.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeLQyqKaeKC1S97gqn9KDJS57RqWoKwEa'
270,What can be heard and caught but never seen?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeL6OFVwRbsMxyIh4EEy5eSgoPxw8k9SC'
271,"I can sizzle like bacon, I am made with an egg. I have plenty of backbone, but lack a good leg. I peel layers like onions, but still remain whole. I can be long, like a flagpole, yet fit in a hole.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe3MvqXeAKwjiF0EhF1ajDnWA9jFdq72e'
272,"If a man carried my burden, he would break his back. I am not rich, but leave silver in my track.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeXdxuqH9gmJ2na0cnbgxP69kS1wuGTKu'
273,"High born, my touch is gentle. Purest white is my lace. Silence is my kingdom. Green is the color of my death.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeB1lGISBZ1dwM6CCmrKwtfA0GtYFwdeq'
274,"You heard me before, yet you hear me again, then I die. Until you call me again.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKezRbluKPtbudrnQSMiXsrEg9PQrZTFGy'
275,What wears a coat in the winter and pants in the summer?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKes7FhIj9wWJutRIQj2vIMm78T8zO.4Au'
276,"I'm not really more than holes tied to more holes. I'm strong as good steel, though not as stiff as a pole.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKelU64tfQppl.g8RzhQCUZshVJZTUpCKK'
277,"I am the third from a sparkle bright, I thrive throughout the day and night. Deep in the path of a cows white drink. I've had thousands of millions of years to think. But one of my creatures is killing me. And so the question I ask to thee, is who am I?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe.RMdNkFadVQmqcegCLCKHXuaPwVL33G'
278,Up on high I wave away but not a word can I say.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeZlydsecTvFY/FGcUcjeE2fDh57IOfv.'
279,"I am whole but incomplete. I have no eyes, yet I see. You can see, and see right through me. My largest part is one fourth of what I once was.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeQvC2P0if10augm.QRRems3MVpg02GXe'
280,"They're up near the sky, on something very tall. Sometimes they die, only then do they fall.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeUYmklivdafwsmZf75Eke9hNmG6GiQzS'
281,"Toss me out of the window. You'll find a grieving wife. Pull me back but through the door, and watch someone give life.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeaGR53sulmiWylsVllUWJPP85srOnW9.'
282,"A time when they're green. A time when they're brown. But both of these times, cause me to frown. But just in between, for a very short while. They're perfect and yellow. And cause me to smile.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeSrwe51hVkJZl45xkvwzeGDZNg7mFMZG'
283,I build up castles. I tear down mountains. I make some men blind. I help others to see.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeRBhPmIAD.e2Cy.fHo2jwGRM8sEbEFsm'
284,"Round as a button, deep as a well. If you want me to talk, you must first pull my tail.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeR.zCqXZeTbBES15EaBx3WRp7yoBd31S'
285,"A house with two occupants, sometimes one, rarely three. Break the walls, eat the boarders, then throw away me.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKePFezRSAL1IIjqAXxebC9tmxphqKRiL.'
286,"My first master has four legs, my second master has two. My first I serve in life, my second I serve in death. Tough I am, yet soft beside. Against ladies cheeks I often reside.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeAyd.ydvGZVOUimOm/n9V4lRsJg/i5ia'
287,I have one eye. See near and far. I hold the moments you treasure and the things that make you weep.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKei8XNXQHk9w0yKUqncsfHoNJOeXkkiJi'
288,"There are two meanings to me. With one I may need to be broken, with the other I hold on. My favorite characteristic is my charming dimple.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeRfc2CNa3R/7r1oEDvvOxbSPWxEfoh46'
289,With sharp edged wit and pointed poise. It can settle disputes without making a noise.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe3tHPDItn6oWyETJS8SlVs4p4n1avKZe'
290,"Lighter than what I am made of, more of me is hidden than is seen. I am the bane of the mariner. A tooth within the sea.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeBzY/6GoIM9tq8wFrwCFKEgjzikpUBAG'
291,"I have one, you have one. If you remove the first letter, a bit remains. If you remove the second, bit still remains. If you remove the third, it still remains.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeCr.JsbK0zeBNTEKLSJe./G4KMQfrcNW'
292,"Kings and queens may cling to power. And the jester's got his call. But, as you may all discover. The common one outranks them all.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeegLvF2bPmr5UwrSgtAZlIMubbV2DKFy'
293,Glittering points that downward thrust. Sparkling spears that never rust.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeTfrDnWpynmrM2c14yO4gg.NOfC7WPc2'
294,My first is in fish but no in snail. My second is in rabbit but no in tail. My third is in up but not in down. My fourth is in tiara but not in crown. My fifth is in tree you plainly see. My whole a food for you and me.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKenNK3t5V2yaM2A.26KEWptSHL/85q6iy'
295,"What I am filled, I can point the way. When I am empty. Nothing moves me. I have two skins. One without and one within.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeto5wYn1M.xP5ceWDZjGYAv41krV9tYq'
296,My first is in window but not in pane. My second's in road but not in lane. My third is in oval but not in round. My fourth is in hearing but not in sound. My whole is known as a sign of peace. And from noah's ark won quick release.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe843BsonUmJu3lLhqs7zHoPjelWRMFAa'
297,If you drop me I'm sure to crack. But give me a smile and I'll always smile back.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeqB5AFmqyog2u3F.jYdstNj1DQvQrIWy'
298,"I make you weak at the worst of all times. I keep you safe, I keep you fine. I make your hands sweat. And your heart grow cold. I visit the weak, but seldom the bold.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe63E6raoEBo0Ld59/4XnOh3QdgmKDm0q'
299,I run through hills. I veer around mountains. I leap over rivers. And crawl through the forests. Step out your door to find me.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKegzHWOhuPs2zvbztSjxZXDp2.koJkcYO'
300,You can see nothing else when you look in my face. I will look you in the eye and I will never lie.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeqB5AFmqyog2u3F.jYdstNj1DQvQrIWy'
301,I have split the one into five. I am the circle that few will spy. I am the path that breaks and gives. I am the bow no man may bend.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeMh6XzbpSb9EoSes4OwaexLH4nZwxvu2'
302,"A harvest sown and reaped on the same day in an unplowed field. Which increases without growing, remains whole though it is eaten within and without. Is useless and yet the staple of nations.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeUpKVZ3WFFYs55WC/kz0E9J26KsnwpWy'
303,Snake coiled round and round. Snake deep below the ground. Snake that's never had a head. Snake that binds but not with dread.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe0B4FiJ/7tbmM.7J58Asp2jmwaRc5Z3O'
304,My first is in ocean but never in sea. My second's in wasp but never in bee. My third is in glider and also in flight. My whole is a creature that comes out at night.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKey2R6qx7bHmdZFI//u4VlnthlXCz4L8K'
305,Dies half its life. Lives the rest. Dances without music. Breathes without breath.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKePuuYliZI78OXSo6uemB.lXT/ebK7t/G'
306,What runs around all day. Then lies under the bed. With its tongue hanging out?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe0kWt4.WsuvEl88VueLBCYPxyVu6J.Rq'
307,"It's true I bring serenity. And hang around the stars. But yet I live in misery, you'll find me behind bars. With thieves and villains I consort. In prison I'll be found. But I would never go to court. Unless there's more than one.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeOEp.mi06RgVuMhzNug46B1oTHFlBIsq'
308,"You must keep this thing. Its loss will affect your brothers. For once yours is lost, it will soon be lost by others.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeMZvBJ5mtubMDo/I9GQui77b6ZyEaRzy'
309,What can you catch but not throw?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeiX4evUaS.cW4IbmZO1dgickhkaIpCy6'
310,"Black we are and much admired. Men seek us if they are tired. We tire the horse, comfort man. Guess this riddle if you can.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKenYEkSiY95rU0uX5VFx9qaYtDY8AfwyW'
311,"I have a face, yet no senses. But I don't really care, because time is of the essence.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe4L6SIUfSfxdqkCbagozEJ/Ofe0YZ6L2'
312,"If you have it, you want to share it. If you share it, you don't have it.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKetXFN42TwwZ9gYJcwbPr0vx/12pzo2h.'
313,There is one in every corner and two in every room.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKekqgplMScvb/30DJsbPnc1fvRzO/tn7u'
314,"It comes only before, it comes only after. Rises only in darkness, but rises only in light. It is always the same, but is yet always different.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKevCmdHUC5/H80a15wplH1LUELFPvMzly'
315,"As soft as silk, as white as milk, as bitter as gall, a thick green wall, and a green coat covers me all.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeRz14ARGsGgIn7ExbWoHXguCQ4oUdMfC'
316,"We are little airy creatures, all of different voice and features, one of us in glass is set. One of us you'll find in jet. Another you may see in tin. And the fourth a box within. If the fifth you should pursue, it can never fly from you.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKemOqunkW0lml2D4L9NF3LAS7lp.Df.Cu'
317,"Three little letters. A paradox to some. The worse that it is, the better it becomes.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKei/SIksuKkZsKDhAhccyytllbc2pzYA.'
318,"Almost everyone needs it, asks for it, gives it. But almost nobody takes it.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeOvhepxzIWBkjxxR59fEyWUXvi.Fnk.6'
319,"Different lights do make me strange, thus into different sizes I will change.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeVc2cI35DZT2XScNvOjuc5YiUj8iEB8.'
320,"Ten men's strength, ten men's length. Ten men can't break it, yet a young boy walks off with it.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe0B4FiJ/7tbmM.7J58Asp2jmwaRc5Z3O'
321,"Some try to hide, some try to cheat. But time will show, we always will meet. Try as you might, to guess my name. I promise you'll know, when you I do claim.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKegloDojWWOY3i63r8dQdqv1YFsoqZqZu'
322,I'm a god. I'm a planet. I measure heat.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe55aYTs5pnit4ZFLzaYPbhANst4.Q0wK'
323,"I'm white, I'm round, but not always around. Sometimes you see me, sometimes you don't.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKevCmdHUC5/H80a15wplH1LUELFPvMzly'
324,People are hired to get rid of me. I'm often hiding under your bed. In time I'll always return you see. Bite me and you're surely dead.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe6iTc9k7MfrPQOUgavFyN9hMY69FfoIm'
325,"Die without me, never thank me. Walk right through me, never feel me. Always watching, never speaking. Always lurking, never seen.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKejaQ5rg5vUnmqqUFpvVdrsPt2ZfgvDnK'
326,"White bird, featherless, flying out of paradise. Flying over sea and land. Dying in my hand.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeB1lGISBZ1dwM6CCmrKwtfA0GtYFwdeq'
327,"My life can be measured in hours. I serve by being devoured. Thin, I am quick. Fat, I am slow. Wind is my foe.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe/zUlxp2IvhTv9sJAygCw.OcxGFSlT2a'
328,What goes up but never comes down?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe44r1szzFCtacVGDq22kfHHBcGlTmJn.'
329,"We are all around, yet to us you are half blind. Sunlight makes us invisible, and difficult to find.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKem6vhhPhS.HACasvNgF04HCaQW/n3AhS'
330,"What's large on Saturday and Sunday. Small on Tuesday, Wednesday, and Thursday, and disappears on Monday and Friday?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeOEp.mi06RgVuMhzNug46B1oTHFlBIsq'
331,What do you fill with empty hands?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeto5wYn1M.xP5ceWDZjGYAv41krV9tYq'
332,"Goes over all the hills and hollows. Bites hard, but never swallows.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe3hMv3L5lc/u7oZ/51dbwhwdYKjk3N5q'
333,"Stealthy as a shadow in the dead of night, cunning but affectionate if given a bite. Never owned but often loved. At my sport considered cruel, but that's because you never know me at all.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeD5WiG9hIJCY.V3621M/IMUeV1h0cqE2'
334,"A red drum which sounds without being touched, and grows silent, when it is touched.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe1YqLj59w7vNdNFhlgQ0YtzOAYzH3WdK'
335,"My second is performed by my first, and it is thought a thief by the marks of my whole might be caught.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKe2WsdGKLzBa2ExsmtD4neoTam7zU/pWy'
336,The man who made it didn't need it. The man who bought it didn't use it. The man who used it didn't want it.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeQBGyaUV/30YQA6FrndmfGa.GmNitHtK'
337,"A hill full, a hole full, yet you cannot catch a bowl full.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeNP.Qx3lt9pW/XB5QfBDJHHT92DKC6VC'
338,I am a box that holds black and white keys without locks. Yet they can unlock your soul.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe61i6.VfqzlKZYRvOstYq1DTVevmsDHi'
339,"What is often returned, but never borrowed/",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeAA5r5wD7QfPVTLe.yuuvfJsNUCMWhbm'
340,"A muttered rumble was heard from the pen, and I, in my walking stopped to look in. What was this I saw? A massive beast, hoofed, and jawed. With spikes upon its mighty brow, I watched as he struck the turf and prowled. And yet for all of his magnificence, he couldn't get out of that wooden fence.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeZW9Gv/3YdnY1cbn7CjhiJiUs6ctHNNq'
341,"What word has kst in the middle, in the beginning, and at the end?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKemK7Txp1SgmMOyvqgU4gTPkqxNBwmksq'
342,"So cold, damp and dark this place. To stay you would refrain, yet those who occupy this place do never complain.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeKZh.P4yTBhbBNpifMoTg7udsOu94rpC'
343,What kind of nut is empty at the center and has no shell.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeXcfPkj/G0n9EsqE9KoDYxnJuzlEvwZu'
344,I have a title and many pages. I am a genteel of genteel descent. I am a killer veteran of war. I am a slave to my lord pledged to his service.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeKplvjSduhs2h.WAqJYrgksDKCxX9.hS'
345,"Of these things - I have two. One for me - and one for you. And when you ask about the price, I simply smile and nod twice.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeQ55OeXbmY2XunHDKjrlAN4bopuOjrkq'
346,At night I come without being fetched. By day I am lost without being stolen.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKem6vhhPhS.HACasvNgF04HCaQW/n3AhS'
347,"Ripped from my mother's womb. Beaten and burned, I become a blood thirsty killer.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeKnEQL/dugKcYQ9gz0xi0WL4NvDIhqEG'
348,"I'm very tempting, so its said, I have a shiny coat of red, and my flesh is white beneath. I smell so sweet, taste good to eat, and help to guard your teeth.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeTi7tElpOTqCt.tTk1Ti3HEBgpTqoQWi'
349,"They made me a mouth, but didn't give me breath. Water gives me life, but the sun brings me death.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeDDZn9.k2AC8DkEg/.WbHKzqfMqL9UxS'
350,"I am as simple as a circle. Worthless as a leader, but when I follow a group. Their strength increases tenfold. By myself I am practically nothing. Neither negative or positive.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeXnQ5h41A/2prjhkQJEsaqH5/eZQg45y'
351,"I saw a man in white, he looked quite a sight. He was not old, but he stood in the cold. And when he felt the sun, he started to run. Who could he be? Please answer me.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeDDZn9.k2AC8DkEg/.WbHKzqfMqL9UxS'
352,We are five little objects of an everyday sort. You will find us all in a tennis court.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKemOqunkW0lml2D4L9NF3LAS7lp.Df.Cu'
353,"What always runs but never walks, often murmurs, never talks. Has a bed but never sleeps, has a mouth but never eats?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKecokXJwjRlO3dVdYJKUeK8T2bvlTz0ry'
354,"I can be cracked, I can be made. I can be told, I can be played.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKekwfAkitp7t/BsnhjZZAOE79keHiRG3G'
355,My children are near and far. No matter that I know where they are. The gift I give them make their day. But if I were gone they would wander away.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKencIRt0QYcdw6II/01dWw6ggkd4jzB2a'
356,"Screaming, soaring seeking sky. Flowers of fire flying high. Eastern art from ancient time. Name me now and solve this rhyme.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeWotVuwPGiuyIJNALQl41qHXSdSMuxH2'
357,"Who is it that rows quickly with four oars, but never comes out from under his own roof?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKekM2f5ANU6uOwLjRIu3htHrE27JalLdi'
358,Who works when he plays and plays when he works?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeu9y1D4.mIIs8mA2GFsOoFDt1KoMYRDK'
359,My first is twice in apple but not once in tart. My second is in liver but not in heart. My third is in giant and also in ghost. Whole I'm best when I am toast.,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeeWz1lVJZnta.lV03FgfvniS4jdkzghG'
360,"Reaching stiffly for the sky, I bare my fingers when its cold. In warmth I wear an emerald glove and in between I dress in gold.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKePuuYliZI78OXSo6uemB.lXT/ebK7t/G'
361,"A precious stone, as clear as diamond. Seek it out while the sun's near the horizon. Though you can walk on water with its power, try to keep it, and it'll vanish in an hour.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeVaxNd1TgZW4gCoarQZO9hl9qjZJD.De'
362,"Half-way up the hill, I see you at last, lying beneath me with your sounds and sights. A city in the twilight, dim and vast, with smoking roofs, soft bells, and gleaming lights.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKewk9np1j3azYXCEHzUOAIwy5GwY8Jkw.'
363,"I heard of a wonder, of words moth-eaten. That is a strange thing, I thought, weird. That a man's song be swallowed by a worm. His blinded sentences, his bedside stand-by rustled in the night - and the robber-guest. Not one wit the wiser. For the words he had mumbled.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeNp/mnSNtNh9mABxpmLmJSvGV3cOkr0u'
364,What has a single eye but cannot see?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKea5kHGA2CP.YrXQ8Ne4a4HWhhWzwtdxm'
365,"I'm light as a feather, yet the strongest man can't hold me for more than 5 minutes. What am I?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKezo5uLqF.CY00/xJAl6o1YUO4P37xeTq'
366,What goes in the water black and comes out red?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeCbdmw9xpqH9hDzYEkdFFQQMxcsabpVK'
367,What two things can you never eat for breakfast?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKe53G/hPESgHSMroJaQo4GbqiuEmpVpbG'
368,What is brown and sticky?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeRe1nftimXTdHojFwmDU29r/RAzgc2m.'
369,What asks but never answers?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKey2R6qx7bHmdZFI//u4VlnthlXCz4L8K'
370,What loses its head in the morning and gets it back at night?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeil7C.cs/78GRy6EgYtQ6ci5aP5Ocwrq'
371,What building has the most stories?,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeEyYmIbqnu2NZLIORr3eJfPt8NoFSLcq'
372,I occur once in a minute...,b'$2b$12$bJS3eJyNaenoz7XhI9bTKeFF4OwSp04EdQvmFwgG5rCVjlADW2XTu'
373,"I pass before the sun, but make no shadow. What am I?",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeUrOQWFbS0/wTPnc2xK6ryBSzFEyfvOS'
374,"Lighter than a feather, but a man cannot hold me for long...",b'$2b$12$bJS3eJyNaenoz7XhI9bTKezo5uLqF.CY00/xJAl6o1YUO4P37xeTq'
375,"I have a hundred legs and cannot stand, a long neck but no head, and I eat the maid's life.",b'$2b$12$bJS3eJyNaenoz7XhI9bTKeSKMp/vF3OcszdzWxNvRNVaxe.2b/uXq'
